fecha_aplicacion,jurisdiccion_aplicacion_id,aplicadas,csumaplicadas,labeldistrito
2021-01-12,62,371,4173,Rio Negro
2021-01-12,66,668,6542,Salta
2021-01-12,70,125,2186,San Juan
2021-01-12,74,171,2553,San Luis
2021-01-12,82,1627,12400,Santa Fe
2021-01-12,86,396,3777,S del Estero
2021-01-12,90,300,7062,Tucuman
2021-01-12,94,43,750,T del Fuego
2021-01-13,2,1363,15552,CABA
2021-01-13,6,8382,66201,Buenos Aires
2021-01-13,14,1228,19896,Cordoba
2021-01-13,18,173,3328,Corrientes
2021-01-13,22,582,6067,Chaco
2021-01-13,26,194,2055,Chubut
2021-01-13,30,659,4897,Entre Rios
2021-01-13,34,4,3392,Formosa
2021-01-13,38,2,4482,Jujuy
2021-01-13,42,36,2194,La Pampa
2021-01-13,50,714,6150,Mendoza
2021-01-13,54,296,4674,Misiones
2021-01-13,62,100,4273,Rio Negro
2021-01-13,66,431,6973,Salta
2021-01-13,70,185,2371,San Juan
2021-01-13,74,185,2738,San Luis
2021-01-13,78,142,1953,Santa Cruz
2021-01-13,82,1395,13795,Santa Fe
2021-01-13,86,545,4322,S del Estero
2021-01-13,90,135,7197,Tucuman
2021-01-13,94,40,790,T del Fuego
2021-01-14,2,2241,17793,CABA
2021-01-14,6,7782,73983,Buenos Aires
2021-01-14,10,1,2569,Catamarca
2021-01-14,14,861,20757,Cordoba
2021-01-14,18,624,3952,Corrientes
2021-01-14,22,398,6465,Chaco
2021-01-14,26,183,2238,Chubut
2021-01-14,30,706,5603,Entre Rios
2021-01-14,34,1,3393,Formosa
2021-01-14,38,35,4517,Jujuy
2021-01-14,42,5,2199,La Pampa
2021-01-14,50,618,6768,Mendoza
2021-01-14,54,376,5050,Misiones
2021-01-14,62,40,4313,Rio Negro
2021-01-14,66,258,7231,Salta
2021-01-14,70,201,2572,San Juan
2021-01-14,74,158,2896,San Luis
2021-01-14,82,1400,15195,Santa Fe
2021-01-14,86,402,4724,S del Estero
2021-01-14,90,338,7535,Tucuman
2021-01-14,94,46,836,T del Fuego
2021-01-15,2,3426,21219,CABA
2021-01-15,6,7631,81614,Buenos Aires
2021-01-15,10,1,2570,Catamarca
2021-01-15,14,828,21585,Cordoba
2021-01-15,18,328,4280,Corrientes
2021-01-15,22,665,7130,Chaco
2021-01-15,26,217,2455,Chubut
2021-01-15,30,775,6378,Entre Rios
2021-01-15,34,1,3394,Formosa
2021-01-15,42,15,2214,La Pampa
2021-01-15,46,16,2836,La Rioja
2021-01-15,50,544,7312,Mendoza
2021-01-15,54,164,5214,Misiones
2021-01-15,62,50,4363,Rio Negro
2021-01-15,66,247,7478,Salta
2021-01-15,70,165,2737,San Juan
2021-01-15,74,55,2951,San Luis
2021-01-15,82,1444,16639,Santa Fe
2021-01-15,86,540,5264,S del Estero
2021-01-15,90,216,7751,Tucuman
2021-01-15,94,137,973,T del Fuego
2021-01-16,2,1338,22557,CABA
2021-01-16,6,3414,85028,Buenos Aires
2021-01-16,14,282,21867,Cordoba
2021-01-16,18,101,4381,Corrientes
2021-01-16,22,14,7144,Chaco
2021-01-16,26,50,2505,Chubut
2021-01-16,30,25,6403,Entre Rios
2021-01-16,34,15,3409,Formosa
2021-01-16,42,25,2239,La Pampa
2021-01-16,50,60,7372,Mendoza
2021-01-16,54,58,5272,Misiones
2021-01-16,62,10,4373,Rio Negro
2021-01-16,66,10,7488,Salta
2021-01-16,78,166,2119,Santa Cruz
2021-01-16,82,223,16862,Santa Fe
2021-01-16,86,1,5265,S del Estero
2021-01-16,90,71,7822,Tucuman
2021-01-16,94,25,998,T del Fuego
2021-01-17,2,835,23392,CABA
2021-01-17,6,12,85040,Buenos Aires
2021-01-17,22,32,7176,Chaco
2021-01-17,34,25,3434,Formosa
2021-01-17,50,2,7374,Mendoza
2021-01-17,54,3,5275,Misiones
2021-01-17,66,4,7492,Salta
2021-01-17,78,141,2260,Santa Cruz
2021-01-17,86,5,5270,S del Estero
2021-01-18,2,508,23900,CABA
2021-01-18,6,5488,90528,Buenos Aires
2021-01-18,14,255,22122,Cordoba
2021-01-18,18,118,4499,Corrientes
2021-01-18,22,358,7534,Chaco
2021-01-18,26,162,2667,Chubut
2021-01-18,30,495,6898,Entre Rios
2021-01-18,34,3,3437,Formosa
2021-01-18,42,16,2255,La Pampa
2021-01-18,46,12,2848,La Rioja
2021-01-18,50,526,7900,Mendoza
2021-01-18,54,74,5349,Misiones
2021-01-18,62,35,4408,Rio Negro
2021-01-18,66,95,7587,Salta
2021-01-18,70,60,2797,San Juan
2021-01-18,78,26,2286,Santa Cruz
2021-01-18,82,1095,17957,Santa Fe
2021-01-18,86,285,5555,S del Estero
2021-01-18,90,190,8012,Tucuman
2021-01-18,94,40,1038,T del Fuego
2021-01-19,2,340,24240,CABA
2021-01-19,6,4465,94993,Buenos Aires
2021-01-19,14,127,22249,Cordoba
2021-01-19,18,102,4601,Corrientes
2021-01-19,22,203,7737,Chaco
2021-01-19,26,131,2798,Chubut
2021-01-19,30,418,7316,Entre Rios
2021-01-19,42,10,2265,La Pampa
2021-01-19,50,429,8329,Mendoza
2021-01-19,54,42,5391,Misiones
2021-01-19,58,1,3668,Neuquen
2021-01-19,62,15,4423,Rio Negro
2021-01-19,66,210,7797,Salta
2021-01-19,82,1057,19014,Santa Fe
2021-01-19,86,92,5647,S del Estero
2021-01-19,90,136,8148,Tucuman
2021-01-19,94,56,1094,T del Fuego
2021-01-20,2,187,24427,CABA
2021-01-20,6,2838,97831,Buenos Aires
2021-01-20,10,1,2571,Catamarca
2021-01-20,14,28,22277,Cordoba
2021-01-20,18,100,4701,Corrientes
2021-01-20,22,207,7944,Chaco
2021-01-20,26,132,2930,Chubut
2021-01-20,30,557,7873,Entre Rios
2021-01-20,50,573,8902,Mendoza
2021-01-20,54,24,5415,Misiones
2021-01-20,62,30,4453,Rio Negro
2021-01-20,66,36,7833,Salta
2021-01-20,70,90,2887,San Juan
2021-01-20,82,747,19761,Santa Fe
2021-01-20,86,45,5692,S del Estero
2021-01-20,90,282,8430,Tucuman
2021-01-20,94,40,1134,T del Fuego
2021-01-21,2,227,24654,CABA
2021-01-21,6,1627,99458,Buenos Aires
2021-01-21,14,50,22327,Cordoba
2021-01-21,18,554,5255,Corrientes
2021-01-21,22,47,7991,Chaco
2021-01-21,26,83,3013,Chubut
2021-01-21,30,450,8323,Entre Rios
2021-01-21,34,1,3438,Formosa
2021-01-21,50,566,9468,Mendoza
2021-01-21,54,97,5512,Misiones
2021-01-21,62,10,4463,Rio Negro
